EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,Coef_Var_PE,Coef_Var_LNE,Var_Prop_PE,Var_Prop_LNE,Autocorr_PE,Autocorr_LNE,Razon_LNE_PE,PE,LNE,TC_LNE_2019,NUM_SECC_RUR,Area_Km2,Densidad_LNE
20,OAXACA,514,SANTO DOMINGO ROAYAGA,0.03869391941330109,0.04226911354488949,0.04182196129477578,0.04774036062523078,0.9290052929046853,0.5912023179266791,0.971905431749989,640.0,626.0,0.0924956369982548,0,0.33835383799999996,1850.1341781735607
20,OAXACA,340,SAN SEBASTIAN ABASOLO,0.01966670951698674,0.019557939073435584,0.023992218975273063,0.02358259092387033,0.987429411022305,0.9851654464711465,0.9883632252598963,1511.0,1487.0,0.06062767475035663,0,6.249705392,237.93121543032248
20,OAXACA,178,SAN JUAN BAUTISTA LO DE SOTO,0.0088413488562561,0.011545143446055586,0.00915208858263366,0.014132335880167305,0.5177632406445555,0.583420941718476,0.9668377479733093,1929.0,1875.0,0.011872638963842417,0,8.036112339,233.32177561785076
20,OAXACA,341,SAN SEBASTIAN COATLAN,0.011320654306220836,0.012963631760709405,0.013019130717104128,0.01574322264486896,0.9133268666324503,0.7324065683276941,0.9838143060148857,1943.0,1896.0,0.014446227929373997,1,157.214996516,12.05991821401746
20,OAXACA,433,SANTA MARIA TEMAXCALAPA,0.00762653690137359,0.03050636679744866,0.009134888069708505,0.033387242818663954,0.9039531647818912,0.8957244224508194,0.9615945372148138,727.0,709.0,0.1043613707165109,0,0.294584213,2406.7820633687525
20,OAXACA,408,SANTA MARIA COYOTEPEC,0.015229053069221723,0.01661005176302995,0.018769157356376662,0.020283052990600667,0.9897198025033661,0.977403883372149,0.9849309190675507,2326.0,2284.0,0.051081454210768526,0,4.378597833,521.6281757566933
20,OAXACA,289,SAN PABLO COATLAN,0.008447294861472278,0.008247580518848009,0.010206629685929093,0.009831587748318554,0.9669506037425126,0.669373782220362,0.9827500233408656,2960.0,2855.0,0.005635787249031349,2,144.339706127,19.779727121572318
20,OAXACA,115,SAN BARTOLOME AYAUTLA,0.01868106618671526,0.02644465827243798,0.021145614576855678,0.03162725763868838,0.8057658242584586,0.7995491967139731,0.9731355422324705,2822.0,2797.0,0.042101341281669154,1,7.685286368000001,363.94219630463607
20,OAXACA,426,SANTA MARIA PAPALO,0.013079699666707535,0.022586809809114233,0.010527215715007003,0.024615026502536445,0.7729214949193223,0.7637150584997817,0.9806798089815434,1488.0,1462.0,0.04131054131054131,0,1.061005125,1377.938678665666
20,OAXACA,129,SAN DIONISIO OCOTLAN,0.015897469229646008,0.015620717507251145,0.01933274872914097,0.0187322682578002,0.9701722160649533,0.6102139100138444,0.9859461484337996,989.0,971.0,0.05773420479302832,0,2.25281539,431.0162316495894
20,OAXACA,243,SAN MARTIN TILCAJETE,0.005948651845428472,0.012101514207139188,0.007162872339779779,0.012662752996993683,0.9677555655201623,0.8243826862881644,0.9899682647809506,1432.0,1412.0,0.03823529411764706,0,3.150931294,448.1214816358354
20,OAXACA,353,SANTA ANA,0.016984844644422934,0.020127918389986434,0.01982978462146442,0.023191537721190425,0.9784387866622215,0.8988605913096928,0.9815888847542178,1659.0,1626.0,0.06413612565445026,0,9.542149635,170.40185515808042
20,OAXACA,385,SANTA CRUZ XITLA,0.024855704987292337,0.026660334901175607,0.028924426065006007,0.030505315693544643,0.9881094428949239,0.9837076606569956,0.9892508449610911,3510.0,3463.0,0.0889937106918239,1,8.671658182,399.3469215828
20,OAXACA,223,SAN JUAN YATZONA,0.022294425763368365,0.02317411310770057,0.025343119539053428,0.02784431766215007,0.9472845042247232,0.8954136662097943,0.9866871262824698,332.0,328.0,0.061488673139158574,0,0.254772994,1287.42059686279
20,OAXACA,84,SAN AGUSTIN YATARENI,0.02599280064372344,0.02742802158486396,0.031637118290248095,0.0329648882065348,0.9946431317838172,0.9905039158028317,0.9883472968956682,3247.0,3205.0,0.09460382513661202,0,5.099443421,628.499962721716
20,OAXACA,212,SAN JUAN PETLAPA,0.007727259298940818,0.04792692725071049,0.008836216306108468,0.052107819322825974,0.828941323149959,0.9369913713315489,0.951742985918503,1868.0,1833.0,0.1342821782178218,1,86.17623346,21.270365696022377
20,OAXACA,87,SAN ANDRES HUAXPALTEPEC,0.020429427285757504,0.024983181284023003,0.023621463159999755,0.028015160472508235,0.9925052251466188,0.9906270001835301,0.9896367846526556,4423.0,4372.0,0.084056533597818,0,3.7369068079999996,1169.9515734886372
20,OAXACA,104,SAN ANTONIO DE LA CAL,0.02121876048583092,0.020926004832011146,0.026067510847501373,0.025436239312197784,0.9967447928798335,0.9895745965083388,0.988710184802788,17070.0,16813.0,0.0649901817951479,0,6.040791755,2783.244429189895
