EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
25,SINALOA,2,ANGOSTURA,-2.114026157639391,1.808520954121072,1.4097940137722782,-0.20273725268040743,0.3309046639046954,0.16476694041254786,0.3055175473160542,0.05309119944982447
25,SINALOA,15,SALVADOR ALVARADO,-0.8038217423156105,1.9270129145695725,0.7837889381840758,0.06526984049277137,-0.0012030319839297441,-0.0660200393579435,0.17214850504118578,0.012036395693659482
25,SINALOA,12,MAZATLAN,0.289542214865408,3.18086816184879,0.8693819220661823,1.2416938096299224,0.10697079677026528,0.07564559326435051,-0.10625049428945466,0.012296068124520497
25,SINALOA,11,GUASAVE,-0.42463627404044446,6.6410935542226275,5.138838747313321,3.8241191424082523,0.33787635042048986,4.665240247316293,-0.19883373682075173,-0.006582057255211242
25,SINALOA,9,ESCUINAPA,-0.04197080678783758,1.1911361522056054,0.412921468744759,-0.3921871943742856,-0.15672670020697904,-0.5808355310538327,0.018140715352187007,0.10153840191496848
25,SINALOA,8,ELOTA,2.9025520192002987,1.7960214976843087,1.8936668683187616,0.6760216966406855,-1.0638693186697898,0.4679003112376335,-0.5591050929865898,-0.057473004756132755
25,SINALOA,5,COSALA,1.343988447450908,1.1020274598809827,2.2385663205588924,-0.23227588268694435,-1.0194078067067511,0.18660333645001817,-0.23083859569426882,0.03638208189162251
25,SINALOA,14,ROSARIO,0.5464651986005444,2.3026895018319657,2.695936083740583,0.8035933539265038,-0.05857050635533453,0.8840513468132523,-0.1316493252704158,0.09211772465136751
25,SINALOA,13,MOCORITO,-0.9911655417483237,3.2681118590074587,3.477441696286691,1.0242751730636865,-0.13191568795872116,1.8605872382186366,0.08830068072569872,0.021294329928397197
25,SINALOA,4,CONCORDIA,0.06769783244833028,1.0923463098687325,1.7393563251268689,-0.33509509461721054,-0.3937655805115112,-0.16324178332451325,-0.02175416118921637,0.09685878032873131
25,SINALOA,3,BADIRAGUATO,0.5045808529200301,2.281138350538075,4.141387068185009,1.2390674467310099,0.4565217936457128,1.4538346033927902,0.06262483775109327,-0.07738244542999372
25,SINALOA,18,NAVOLATO,-0.2924625405271241,3.5261737968090903,2.296444087552005,1.3697048993606737,0.0026175890344264353,1.4317864990845106,-0.06331308164535945,0.03404564925648028
25,SINALOA,17,SINALOA,0.578959855604244,6.270942761580167,6.946461017549653,4.023068414539133,0.19751778972183043,5.307554513641728,-0.28553181963851887,-0.04646206349851488
25,SINALOA,16,SAN IGNACIO,0.7617214776062251,1.3780249095118566,2.626339608199661,-0.3807821822781679,-0.8068448865527379,0.12050510849220852,-0.3097170593132811,0.07420648377882025
25,SINALOA,1,AHOME,0.3216630845910797,3.7126910715730155,1.5256100697481318,1.7442015624490124,0.13112735364033792,0.8406257790560528,-0.0887666591436595,-0.012369215432073656
25,SINALOA,10,EL FUERTE,0.7772381759829233,4.828883816127423,4.687045177317499,2.571116815511809,-0.2560630234677167,3.2803829410335306,-0.36694236192345636,-0.0026654265049795138
26,SONORA,30,NOGALES,-0.15260073512757225,1.4696078740054135,-0.5863087488784615,-0.025598657802148345,0.277586808507214,-1.4038006319863714,0.1411667978525416,-0.0009900713952030792
26,SONORA,69,YECORA,1.2244985287174182,-0.7477719691825787,2.015265207334246,-0.9926256610567938,0.01607193299220961,-0.7858457522538064,-0.15697352346552843,0.004990737624680355
26,SONORA,68,ROSARIO,-0.47215371852745486,-0.1454970885199609,1.444423314351423,-1.5538516523340313,-0.8939173356565251,-0.6576589894811893,0.1462279770857152,0.028795518714899777
26,SONORA,67,QUIRIEGO,-1.6423001931815047,-0.2913331591226219,1.2144753275572653,-1.870982072641616,-0.5961940719533908,-0.5283338057944472,0.20709188988471205,0.05384125939461291
26,SONORA,31,OQUITOA,1.5089505663129725,-1.5776065939395563,-0.36237472179701424,-0.7710221627856031,-0.22094512872748576,1.0672722380577673,0.23426948051026683,-0.11676977059629406
26,SONORA,44,VILLA HIDALGO,4.263367704474011,-1.5278176686692762,1.7435548501286091,-0.6427168871835979,-0.8403644241738002,-0.49365935758623947,-0.32178034730963656,-0.028162700636773865
26,SONORA,25,MAGDALENA,1.2137244916714165,0.14122303350016832,0.8147310202039116,-0.43941219168354523,0.027127894337921787,-1.1408880642901846,-0.013782066937608809,0.0071082786214666386
26,SONORA,64,HUATABAMPO,-1.0857673919257904,1.8849754817136062,0.45304656337982735,-0.004993802913210254,0.14235993282286358,-0.026684817682740745,0.18992274125636763,0.05227549321833531
26,SONORA,37,SANTA CRUZ,-2.318353296783173,-0.8153989534306271,-0.4790985158519524,-1.2747483533998558,0.7458086289665081,0.5577259225382314,0.12478274263592623,0.007666794525635717
26,SONORA,53,PUERTO PEÐASCO,1.5265624972703489,0.6347709881495653,-1.4968185271480157,0.2663509708125742,0.6180806877797229,-0.4826812010312256,-0.09544114639846911,0.003512202012824615
26,SONORA,52,PITIQUITO,2.270751588024434,-0.47087059874879733,1.7878929934344476,-1.152322683521812,-0.8959729303649446,-1.060962984351922,-0.4174276686147023,0.09107957043737251
26,SONORA,7,BACADEHUACHI,3.0874095584873382,-1.5616843042496134,-0.82302358865295,0.048921474967546445,1.175332323922539,0.96739727815515,-0.2784998937327945,0.19030877103138658
26,SONORA,49,HERMOSILLO,0.8377492027612241,2.5808796816662873,0.6078246765016342,0.7983372878097972,-0.18386832291361524,-1.2530202049856871,-0.12406157068035567,-0.025740737989383485
26,SONORA,22,HUASABAS,0.580524819334895,-0.852215003898343,-1.3419387246862187,-0.5331715774202304,0.4697412105451499,1.0612853814139296,-0.0025742840379177874,0.2780513586608563
